Name,Group,Path,URL,AdditionalScrape,AdditionalCode,is_adopted
DJ_IronSteel,dj_sectors,raw_DJIronSteel_price.parquet,indices/dj-iron---steel,None,None,TRUE
DJ_Mining,dj_sectors,raw_DJMining_price.parquet,indices/dj-mining,None,None,TRUE
DJ_Industrials,dj_sectors,raw_DJIndustrials_price.parquet,indices/dj-industrials,None,None,TRUE
DJ_ConstMaterials,dj_sectors,raw_DJConstMaterials_price.parquet,indices/dj-construction---materials,None,None,TRUE
DJ_BuildingMaterialsFixtures,dj_sectors,raw_DJBuildingMaterialsFixtures_price.parquet,indices/dj-building-materials---fixtures,None,None,TRUE
DJ_HeavyConstruction,dj_sectors,raw_DJHeavyConstruction_price.parquet,indices/dj-heavy-construction,None,None,TRUE
DJ_IndustrialGoodsServices,dj_sectors,raw_DJIndustrialGoodsServices_price.parquet,indices/dj-industrial-goods---srvcs,None,None,TRUE
DJ_AerospaceDefense,dj_sectors,raw_DJAerospaceDefense_price.parquet,indices/dj-aerospace---defense,None,None,TRUE
DJ_Aerospace,dj_sectors,raw_DJAerospace_price.parquet,indices/dj-aerospace,None,None,TRUE
DJ_Defense,dj_sectors,raw_DJDefense_price.parquet,indices/dj-defense,None,None,TRUE
DJ_GeneralIndustrials,dj_sectors,raw_DJGeneralIndustrials_price.parquet,indices/dj-general-industrials,None,None,TRUE
DJ_ContainersPackaging,dj_sectors,raw_DJContainersPackaging_price.parquet,indices/dj-containers---packaging,None,None,TRUE
DJ_DiversifiedIndustrials,dj_sectors,raw_DJDiversifiedIndustrials_price.parquet,indices/dj-diversified-industrials,None,None,TRUE
DJ_ElectronicElectrical,dj_sectors,raw_DJElectronicElectrical_price.parquet,indices/dj-aerospace,None,None,TRUE
DJ_ElectricalCompEquip,dj_sectors,raw_DJElectricalCompEquip_price.parquet,indices/dj-electrical-components---equip,None,None,TRUE
DJ_ElectronicEquip,dj_sectors,raw_DJElectronicEquip_price.parquet,indices/dj-electronic-equipment,None,None,TRUE
DJ_IndustrialEngineering,dj_sectors,raw_DJIndustrialEngineering_price.parquet,indices/dj-industrial-engineering,None,None,TRUE
