Code,CompanyName,MarketCodeName,Sector,SubSector
3148,クリエイトＳＤホールディングス,プライム,ドラッグ・量販店,小売1
3034,クオールホールディングス,プライム,ドラッグ・量販店,小売1
3088,マツキヨココカラ＆カンパニー,プライム,ドラッグ・量販店,小売1
9989,サンドラッグ,プライム,ドラッグ・量販店,小売1
9627,アインホールディングス,プライム,ドラッグ・量販店,小売1
2664,カワチ薬品,プライム,ドラッグ・量販店,小売1
3141,ウエルシアホールディングス,プライム,ドラッグ・量販店,小売1
3391,ツルハホールディングス,プライム,ドラッグ・量販店,小売1
3349,コスモス薬品,プライム,ドラッグ・量販店,小売1
7512,イオン北海道,スタンダード,ドラッグ・量販店,小売1
7649,スギホールディングス,プライム,ドラッグ・量販店,小売1
6755,富士通ゼネラル,プライム,ドラッグ・量販店,小売1
7532,パン・パシフィック・インターナショナルホールディングス,プライム,ドラッグ・量販店,小売1
9843,ニトリホールディングス,プライム,ドラッグ・量販店,小売1
4732,ユー・エス・エス,プライム,ドラッグ・量販店,小売1
2670,エービーシー・マート,プライム,ドラッグ・量販店,小売1
7545,西松屋チェーン,プライム,ドラッグ・量販店,小売1
8227,しまむら,プライム,ドラッグ・量販店,小売1
6412,平和,プライム,パチンコ・陸運,パチンコ
6417,ＳＡＮＫＹＯ,プライム,パチンコ・陸運,パチンコ
6460,セガサミーホールディングス,プライム,パチンコ・陸運,パチンコ
9064,ヤマトホールディングス,プライム,パチンコ・陸運,運輸
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム,パチンコ・陸運,運輸
4095,日本パーカライジング,プライム,パチンコ・陸運,運輸
9065,山九,プライム,パチンコ・陸運,運輸
9069,センコーグループホールディングス,プライム,パチンコ・陸運,運輸
9072,ニッコンホールディングス,プライム,パチンコ・陸運,運輸
9075,福山通運,プライム,パチンコ・陸運,運輸
9076,セイノーホールディングス,プライム,パチンコ・陸運,運輸
9045,京阪ホールディングス,プライム,パチンコ・陸運,私鉄2
9048,名古屋鉄道,プライム,パチンコ・陸運,私鉄2
