Code,CompanyName,MarketCodeName,Sector
9412,スカパーＪＳＡＴホールディングス,プライム,メディア・医薬品卸
9413,テレビ東京ホールディングス,プライム,メディア・医薬品卸
3360,シップヘルスケアホールディングス,プライム,メディア・医薬品卸
4534,持田製薬,プライム,メディア・医薬品卸
4559,ゼリア新薬工業,プライム,メディア・医薬品卸
9987,スズケン,プライム,メディア・医薬品卸
4206,アイカ工業,プライム,メディア・医薬品卸
2784,アルフレッサ　ホールディングス,プライム,メディア・医薬品卸
7459,メディパルホールディングス,プライム,メディア・医薬品卸
8129,東邦ホールディングス,プライム,メディア・医薬品卸
4681,リゾートトラスト,プライム,レジャー・紳士服
8022,美津濃,プライム,レジャー・紳士服
4680,ラウンドワン,プライム,レジャー・紳士服
9603,エイチ・アイ・エス,プライム,レジャー・紳士服
9722,藤田観光,プライム,レジャー・紳士服
7599,ＩＤＯＭ,プライム,レジャー・紳士服
9616,共立メンテナンス,プライム,レジャー・紳士服
8136,サンリオ,プライム,レジャー・紳士服
8214,ＡＯＫＩホールディングス,プライム,レジャー・紳士服
8219,青山商事,プライム,レジャー・紳士服
3002,グンゼ,プライム,衣料製造・住設
3608,ＴＳＩホールディングス,プライム,衣料製造・住設
8016,オンワードホールディングス,プライム,衣料製造・住設
3591,ワコールホールディングス,プライム,衣料製造・住設
6436,アマノ,プライム,衣料製造・住設
6457,グローリー,プライム,衣料製造・住設
8008,ヨンドシーホールディングス,プライム,衣料製造・住設
4046,大阪ソーダ,プライム,衣料製造・住設
4212,積水樹脂,プライム,衣料製造・住設
4958,長谷川香料,プライム,衣料製造・住設
3201,日本毛織,プライム,衣料製造・住設
5930,文化シヤッター,プライム,衣料製造・住設
5943,ノーリツ,プライム,衣料製造・住設
7981,タカラスタンダード,プライム,衣料製造・住設
8130,サンゲツ,プライム,衣料製造・住設
4553,東和薬品,プライム,医薬（中堅）
4887,サワイグループホールディングス,プライム,医薬（中堅）
4521,科研製薬,プライム,医薬（中堅）
4530,久光製薬,プライム,医薬（中堅）
4540,ツムラ,プライム,医薬（中堅）
4544,Ｈ．Ｕ．グループホールディングス,プライム,医薬（中堅）
4694,ビー・エム・エル,プライム,医薬（中堅）
4516,日本新薬,プライム,医薬（中堅）
4528,小野薬品工業,プライム,医薬（中堅）
4536,参天製薬,プライム,医薬（中堅）
4547,キッセイ薬品工業,プライム,医薬（中堅）
4569,杏林製薬,プライム,医薬（中堅）
4151,協和キリン,プライム,医薬品（大手）
4507,塩野義製薬,プライム,医薬品（大手）
4519,中外製薬,プライム,医薬品（大手）
4523,エーザイ,プライム,医薬品（大手）
2331,綜合警備保障,プライム,医薬品（大手）
6869,シスメックス,プライム,医薬品（大手）
9735,セコム,プライム,医薬品（大手）
4543,テルモ,プライム,医薬品（大手）
7747,朝日インテック,プライム,医薬品（大手）
4502,武田薬品工業,プライム,医薬品（大手）
4503,アステラス製薬,プライム,医薬品（大手）
4506,住友ファーマ,プライム,医薬品（大手）
4568,第一三共,プライム,医薬品（大手）
4578,大塚ホールディングス,プライム,医薬品（大手）
4004,レゾナック・ホールディングス,プライム,化学
5301,東海カーボン,プライム,化学
5302,日本カーボン,プライム,化学
5310,東洋炭素,プライム,化学
4061,デンカ,プライム,化学
4118,カネカ,プライム,化学
4008,住友精化,プライム,化学
4114,日本触媒,プライム,化学
4471,三洋化成工業,プライム,化学
4088,エア・ウォーター,プライム,化学
4091,日本酸素ホールディングス,プライム,化学
4205,日本ゼオン,プライム,化学
4403,日油,プライム,化学
3401,帝人,プライム,化学
4042,東ソー,プライム,化学
3407,旭化成,プライム,化学
4182,三菱瓦斯化学,プライム,化学
4202,ダイセル,プライム,化学
4183,三井化学,プライム,化学
4188,三菱ケミカルグループ,プライム,化学
4631,ＤＩＣ,プライム,化学
3402,東レ,プライム,化学
4005,住友化学,プライム,化学
3405,クラレ,プライム,化学
4208,ＵＢＥ,プライム,化学
9101,日本郵船,プライム,海運
9104,商船三井,プライム,海運
9107,川崎汽船,プライム,海運
9110,ＮＳユナイテッド海運,プライム,海運
9119,飯野海運,プライム,海運
6419,マースグループホールディングス,プライム,外食1
6430,ダイコク電機,プライム,外食1
7611,ハイデイ日高,プライム,外食1
1419,タマホーム,プライム,外食1
7630,壱番屋,プライム,外食1
9470,学研ホールディングス,プライム,外食1
3091,ブロンコビリー,プライム,外食1
8200,リンガーハット,プライム,外食1
2681,ゲオホールディングス,プライム,外食1
7581,サイゼリヤ,プライム,外食1
9861,吉野家ホールディングス,プライム,外食1
3097,物語コーポレーション,プライム,外食1
7550,ゼンショーホールディングス,プライム,外食1
8111,ゴールドウイン,プライム,外食1
8179,ロイヤルホールディングス,プライム,外食1
3387,クリエイト・レストランツ・ホールディングス,プライム,外食1
3397,トリドールホールディングス,プライム,外食1
7616,コロワイド,プライム,外食1
2685,アダストリア,プライム,外食2・アパレル
2726,パルグループホールディングス,プライム,外食2・アパレル
7606,ユナイテッドアローズ,プライム,外食2・アパレル
9832,オートバックスセブン,プライム,外食2・アパレル
9882,イエローハット,プライム,外食2・アパレル
1766,東建コーポレーション,プライム,外食2・アパレル
2695,くら寿司,プライム,外食2・アパレル
4825,ウェザーニューズ,プライム,外食2・アパレル
8153,モスフードサービス,プライム,外食2・アパレル
3028,アルペン,プライム,外食2・アパレル
3087,ドトール・日レスホールディングス,プライム,外食2・アパレル
7421,カッパ・クリエイト,プライム,外食2・アパレル
8160,木曽路,プライム,外食2・アパレル
8281,ゼビオホールディングス,プライム,外食2・アパレル
9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,スタンダード,外食2・アパレル
5857,ＡＲＥホールディングス,プライム,金属・資源
7456,松田産業,プライム,金属・資源
8015,豊田通商,プライム,金属・資源
8078,阪和興業,プライム,金属・資源
8001,伊藤忠商事,プライム,金属・資源
8088,岩谷産業,プライム,金属・資源
8002,丸紅,プライム,金属・資源
8053,住友商事,プライム,金属・資源
3101,東洋紡,プライム,金属・資源
2768,双日,プライム,金属・資源
8020,兼松,プライム,金属・資源
8031,三井物産,プライム,金属・資源
8058,三菱商事,プライム,金属・資源
4043,トクヤマ,プライム,金属・資源
5706,三井金属鉱業,プライム,金属・資源
5713,住友金属鉱山,プライム,金属・資源
1515,日鉄鉱業,プライム,金属・資源
5714,ＤＯＷＡホールディングス,プライム,金属・資源
5408,中山製鋼所,プライム,金属・資源
5410,合同製鐵,プライム,金属・資源
5445,東京鐵鋼,プライム,金属・資源
5711,三菱マテリアル,プライム,金属・資源
