Code,CompanyName,SubSector,Sector
9104,商船三井,海運,コモディティ（海運・鉄鋼）
9107,川崎汽船,海運,コモディティ（海運・鉄鋼）
6902,デンソー,自動車部品2,自動車1
5334,日本特殊陶業,自動車部品2,自動車1
6592,マブチモーター,自動車部品2,自動車1
5802,住友電気工業,自動車部品2,自動車1
6201,豊田自動織機,自動車部品2,自動車1
8750,第一生命ホールディングス,生保,保険
8795,Ｔ＆Ｄホールディングス,生保,保険
4661,オリエンタルランド,私鉄2,運輸（私鉄・陸運）
9009,京成電鉄,私鉄2,運輸（私鉄・陸運）
9001,東武鉄道,私鉄2,運輸（私鉄・陸運）
9005,東急,私鉄2,運輸（私鉄・陸運）
9006,京浜急行電鉄,私鉄2,運輸（私鉄・陸運）
9007,小田急電鉄,私鉄2,運輸（私鉄・陸運）
9008,京王電鉄,私鉄2,運輸（私鉄・陸運）
3048,ビックカメラ,家電量販店,小売2
8282,ケーズホールディングス,家電量販店,小売2
9831,ヤマダホールディングス,家電量販店,小売2
5101,横浜ゴム,タイヤ,自動車2
5105,ＴＯＹＯ　ＴＩＲＥ,タイヤ,自動車2
5108,ブリヂストン,タイヤ,自動車2
5110,住友ゴム工業,タイヤ,自動車2
2784,アルフレッサ　ホールディングス,医薬品2,医薬品2
3360,シップヘルスケアホールディングス,医薬品2,医薬品2
4887,サワイグループホールディングス,医薬品2,医薬品2
7459,メディパルホールディングス,医薬品2,医薬品2
8129,東邦ホールディングス,医薬品2,医薬品2
9987,スズケン,医薬品2,医薬品2
9706,日本空港ビルデング,百貨店,広告・インバウンド
3086,Ｊ．フロント　リテイリング,百貨店,広告・インバウンド
8242,エイチ・ツー・オー　リテイリング,百貨店,広告・インバウンド
3099,三越伊勢丹ホールディングス,百貨店,広告・インバウンド
8233,高島屋,百貨店,広告・インバウンド
8252,丸井グループ,百貨店,広告・インバウンド
5711,三菱マテリアル,非鉄金属2,コモディティ（非鉄金属）
5714,ＤＯＷＡホールディングス,非鉄金属2,コモディティ（非鉄金属）
9301,三菱倉庫,商社1,コモディティ（商社・石油）
9364,上組,商社1,コモディティ（商社・石油）
9983,ファーストリテイリング,商社1,コモディティ（商社・石油）
4021,日産化学,商社1,コモディティ（商社・石油）
5332,ＴＯＴＯ,商社1,コモディティ（商社・石油）
6841,横河電機,商社1,コモディティ（商社・石油）
4272,日本化薬,商社1,コモディティ（商社・石油）
5901,東洋製罐グループホールディングス,商社1,コモディティ（商社・石油）
8015,豊田通商,商社1,コモディティ（商社・石油）
8001,伊藤忠商事,商社1,コモディティ（商社・石油）
8088,岩谷産業,商社1,コモディティ（商社・石油）
8002,丸紅,商社1,コモディティ（商社・石油）
8053,住友商事,商社1,コモディティ（商社・石油）
4452,花王,化粧,化粧・衛生・文具
4911,資生堂,化粧,化粧・衛生・文具
4922,コーセー,化粧,化粧・衛生・文具
4927,ポーラ・オルビスホールディングス,化粧,化粧・衛生・文具
8113,ユニ・チャーム,化粧,化粧・衛生・文具
4704,トレンドマイクロ,その他,食品3
7951,ヤマハ,その他,食品3
9613,ＮＴＴデータグループ,その他,食品3
4530,久光製薬,医薬品3,医薬品2
4540,ツムラ,医薬品3,医薬品2
4544,Ｈ．Ｕ．グループホールディングス,医薬品3,医薬品2
8174,日本瓦斯,ガス,電力・ガス
9533,東邦瓦斯,ガス,電力・ガス
9531,東京瓦斯,ガス,電力・ガス
9532,大阪瓦斯,ガス,電力・ガス
2432,ディー・エヌ・エー,IT3,IT
4689,ＬＩＮＥヤフー,IT3,IT
9984,ソフトバンクグループ,IT3,IT
2413,エムスリー,IT3,IT
2175,エス・エム・エス,IT3,IT
9468,ＫＡＤＯＫＡＷＡ,IT3,IT
2371,カカクコム,IT3,IT
3774,インターネットイニシアティブ,IT3,IT
4307,野村総合研究所,IT3,IT
4716,日本オラクル,IT3,IT
4768,大塚商会,IT3,IT
4684,オービック,IT3,IT
4733,オービックビジネスコンサルタント,IT3,IT
7476,アズワン,IT3,IT
7011,三菱重工業,重工,重機・重工・重電
1963,日揮ホールディングス,重工,重機・重工・重電
