Code,CompanyName,Sector33CodeName,Sector,Current
8570,イオンフィナンシャルサービス,その他金融業,証券・金融,1
8591,オリックス,その他金融業,証券・金融,1
8593,三菱ＨＣキャピタル,その他金融業,証券・金融,1
8595,ジャフコ　グループ,証券･商品先物取引業,証券・金融,1
8601,大和証券グループ本社,証券･商品先物取引業,証券・金融,1
8604,野村ホールディングス,証券･商品先物取引業,証券・金融,1
8697,日本取引所グループ,その他金融業,証券・金融,1
1332,ニッスイ,水産・農林業,食品,1
1333,マルハニチロ,水産・農林業,食品,1
2002,日清製粉グループ本社,食料品,食品,1
2282,日本ハム,食料品,食品,1
2501,サッポロホールディングス,食料品,食品,1
2502,アサヒグループホールディングス,食料品,食品,1
2503,キリンホールディングス,食料品,食品,1
2531,宝ホールディングス,食料品,食品,1
2587,サントリー食品インターナショナル,食料品,食品,1
2801,キッコーマン,食料品,食品,1
2810,ハウス食品グループ本社,食料品,食品,1
2811,カゴメ,食料品,食品,1
7947,エフピコ,化学,食品,0
2201,森永製菓,食料品,食品,1
2206,江崎グリコ,食料品,食品,1
2212,山崎製パン,食料品,食品,1
2229,カルビー,食料品,食品,1
2264,森永乳業,食料品,食品,1
2267,ヤクルト本社,食料品,食品,1
2269,明治ホールディングス,食料品,食品,1
2579,コカ・コーラ　ボトラーズジャパンホールディングス,食料品,食品,1
2593,伊藤園,食料品,食品,1
2607,不二製油グループ本社,食料品,食品,1
2802,味の素,食料品,食品,1
2809,キユーピー,食料品,食品,1
2815,アリアケジャパン,食料品,食品,1
2871,ニチレイ,食料品,食品,1
2875,東洋水産,食料品,食品,1
2897,日清食品ホールディングス,食料品,食品,1
1605,ＩＮＰＥＸ,鉱業,石油・資源,1
5019,出光興産,石油･石炭製品,石油・資源,1
5020,ＥＮＥＯＳホールディングス,石油･石炭製品,石油・資源,1
5021,コスモエネルギーホールディングス,石油･石炭製品,石油・資源,1
3101,東洋紡,繊維製品,素材,1
3107,ダイワボウホールディングス,卸売業,素材,1
3401,帝人,繊維製品,素材,1
3861,王子ホールディングス,パルプ・紙,素材,1
4045,東亞合成,化学,素材,1
4088,エア・ウォーター,化学,素材,1
4091,日本酸素ホールディングス,化学,素材,1
4114,日本触媒,化学,素材,1
4203,住友ベークライト,化学,素材,1
4204,積水化学工業,化学,素材,1
4272,日本化薬,化学,素材,1
4401,ＡＤＥＫＡ,化学,素材,1
4403,日油,化学,素材,1
4612,日本ペイントホールディングス,化学,素材,1
4613,関西ペイント,化学,素材,1
5232,住友大阪セメント,ガラス･土石製品,素材,1
5233,太平洋セメント,ガラス･土石製品,素材,1
5463,丸一鋼管,鉄鋼,素材,1
5929,三和ホールディングス,金属製品,素材,1
5938,ＬＩＸＩＬ,金属製品,素材,1
6406,フジテック,機械,素材,1
6457,グローリー,機械,素材,1
7966,リンテック,その他製品,素材,1
8012,長瀬産業,卸売業,素材,1
8060,キヤノンマーケティングジャパン,卸売業,素材,1
