Code,CompanyName,Level0,Level1,Level2,Level3,Level4,Level5,Cluster,Subsector,Sector
5334,日本特殊陶業,17,1,-1,-1,-1,-1,55,自動車1,自動車2
6201,豊田自動織機,17,1,-1,-1,-1,-1,55,自動車1,自動車2
7309,シマノ,17,1,-1,-1,-1,-1,55,自動車1,自動車2
5802,住友電気工業,17,2,-1,-1,-1,-1,56,自動車1,自動車2
6902,デンソー,17,2,-1,-1,-1,-1,56,自動車1,自動車2
7203,トヨタ自動車,17,2,-1,-1,-1,-1,56,自動車1,自動車2
7267,本田技研工業,17,2,-1,-1,-1,-1,56,自動車1,自動車2
2331,綜合警備保障,18,-1,-1,-1,-1,-1,57,警備・化学,医療機器
4901,富士フイルムホールディングス,18,-1,-1,-1,-1,-1,57,警備・化学,医療機器
6971,京セラ,18,-1,-1,-1,-1,-1,57,警備・化学,医療機器
9735,セコム,18,-1,-1,-1,-1,-1,57,警備・化学,医療機器
8601,大和証券グループ本社,19,-1,-1,-1,-1,-1,58,証券1,金融
8604,野村ホールディングス,19,-1,-1,-1,-1,-1,58,証券1,金融
8697,日本取引所グループ,19,-1,-1,-1,-1,-1,58,証券1,金融
8304,あおぞら銀行,20,1,-1,-1,-1,-1,59,都銀,都銀
8411,みずほフィナンシャルグループ,20,1,-1,-1,-1,-1,59,都銀,都銀
8306,三菱ＵＦＪフィナンシャル・グループ,20,2,-1,-1,-1,-1,60,都銀,都銀
8308,りそなホールディングス,20,2,-1,-1,-1,-1,60,都銀,都銀
8309,三井住友トラストグループ,20,2,-1,-1,-1,-1,60,都銀,都銀
8316,三井住友フィナンシャルグループ,20,2,-1,-1,-1,-1,60,都銀,都銀
1417,ミライト・ワン,21,1,-1,-1,-1,-1,61,建設2,建設2
1951,エクシオグループ,21,1,-1,-1,-1,-1,61,建設2,建設2
1969,高砂熱学工業,21,1,-1,-1,-1,-1,61,建設2,建設2
1721,コムシスホールディングス,21,2,-1,-1,-1,-1,62,建設2,建設2
1963,日揮ホールディングス,21,2,-1,-1,-1,-1,62,建設2,建設2
4043,トクヤマ,22,1,-1,-1,-1,-1,63,化学2,化学2
4061,デンカ,22,1,-1,-1,-1,-1,63,化学2,化学2
4118,カネカ,22,2,-1,-1,-1,-1,64,化学2,化学2
4202,ダイセル,22,2,-1,-1,-1,-1,64,化学2,化学2
3436,ＳＵＭＣＯ,23,1,1,-1,-1,-1,65,半導体,半導体
4186,東京応化工業,23,1,1,-1,-1,-1,65,半導体,半導体
6146,ディスコ,23,1,1,-1,-1,-1,65,半導体,半導体
6856,堀場製作所,23,1,2,-1,-1,-1,66,半導体,半導体
7729,東京精密,23,1,2,-1,-1,-1,66,半導体,半導体
6728,アルバック,23,2,1,-1,-1,-1,67,半導体,半導体
6925,ウシオ電機,23,2,1,-1,-1,-1,67,半導体,半導体
7735,ＳＣＲＥＥＮホールディングス,23,2,1,-1,-1,-1,67,半導体,半導体
