Code,CompanyName,SubSector,Sector,Current
7013,ＩＨＩ,重工業,化学工業（重機・重工）,1
7936,アシックス,重工業,化学工業（重機・重工）,1
7003,三井Ｅ＆Ｓ,重工業,化学工業（重機・重工）,1
7012,川崎重工業,重工業,化学工業（重機・重工）,1
6996,ニチコン,抵抗器,化学工業（重機・重工）,1
6999,ＫＯＡ,抵抗器,化学工業（重機・重工）,1
3036,アルコニックス,化学（素材・商社）,化学工業（素材・商社）,1
6013,タクマ,化学（素材・商社）,化学工業（素材・商社）,1
8074,ユアサ商事,化学（素材・商社）,化学工業（素材・商社）,1
3569,セーレン,化学（素材・商社）,化学工業（素材・商社）,1
7226,極東開発工業,化学（素材・商社）,化学工業（素材・商社）,1
8051,山善,化学（素材・商社）,化学工業（素材・商社）,1
8098,稲畑産業,化学（素材・商社）,化学工業（素材・商社）,1
4996,クミアイ化学工業,化学（素材・商社）,化学工業（素材・商社）,1
7966,リンテック,化学（素材・商社）,化学工業（素材・商社）,1
5451,淀川製鋼所,化学（素材・商社）,化学工業（素材・商社）,1
6498,キッツ,化学（素材・商社）,化学工業（素材・商社）,1
8012,長瀬産業,化学（素材・商社）,化学工業（素材・商社）,1
4044,セントラル硝子,化学（素材・商社）,化学工業（素材・商社）,1
4045,東亞合成,化学（素材・商社）,化学工業（素材・商社）,1
4401,ＡＤＥＫＡ,化学（素材・商社）,化学工業（素材・商社）,1
4634,ａｒｔｉｅｎｃｅ,化学（素材・商社）,化学工業（素材・商社）,1
4617,中国塗料,化学（素材・商社）,化学工業（素材・商社）,1
4633,サカタインクス,化学（素材・商社）,化学工業（素材・商社）,1
5857,ＡＲＥホールディングス,貴金属回収,化学工業（素材・商社）,1
7456,松田産業,貴金属回収,化学工業（素材・商社）,1
4046,大阪ソーダ,化学（その他）2,化学工業（素材・商社）,1
4212,積水樹脂,化学（その他）2,化学工業（素材・商社）,1
5192,三ツ星ベルト,化学（その他）2,化学工業（素材・商社）,1
5201,ＡＧＣ,ガラス,化学工業（総合化学・基幹素材）,1
5214,日本電気硝子,ガラス,化学工業（総合化学・基幹素材）,1
4004,レゾナック・ホールディングス,カーボン,化学工業（総合化学・基幹素材）,1
5301,東海カーボン,カーボン,化学工業（総合化学・基幹素材）,1
5302,日本カーボン,カーボン,化学工業（総合化学・基幹素材）,1
7744,ノーリツ鋼機,カーボン,化学工業（総合化学・基幹素材）,1
4061,デンカ,化学（総合）,化学工業（総合化学・基幹素材）,1
4118,カネカ,化学（総合）,化学工業（総合化学・基幹素材）,1
3405,クラレ,化学（総合）,化学工業（総合化学・基幹素材）,1
4043,トクヤマ,化学（総合）,化学工業（総合化学・基幹素材）,1
4631,ＤＩＣ,化学（総合）,化学工業（総合化学・基幹素材）,1
4005,住友化学,化学（総合）,化学工業（総合化学・基幹素材）,1
4208,ＵＢＥ,化学（総合）,化学工業（総合化学・基幹素材）,1
4182,三菱瓦斯化学,化学（総合）,化学工業（総合化学・基幹素材）,1
4403,日油,化学（総合）,化学工業（総合化学・基幹素材）,1
4626,太陽ホールディングス,化学（総合）,化学工業（総合化学・基幹素材）,1
3402,東レ,化学（総合）,化学工業（総合化学・基幹素材）,1
4023,クレハ,化学（総合）,化学工業（総合化学・基幹素材）,1
4203,住友ベークライト,化学（総合）,化学工業（総合化学・基幹素材）,1
3407,旭化成,化学（総合）,化学工業（総合化学・基幹素材）,1
4042,東ソー,化学（総合）,化学工業（総合化学・基幹素材）,1
4091,日本酸素ホールディングス,化学（総合）,化学工業（総合化学・基幹素材）,1
4183,三井化学,化学（総合）,化学工業（総合化学・基幹素材）,1
4202,ダイセル,化学（総合）,化学工業（総合化学・基幹素材）,1
3401,帝人,化学（総合）,化学工業（総合化学・基幹素材）,1
4188,三菱ケミカルグループ,化学（総合）,化学工業（総合化学・基幹素材）,1
4088,エア・ウォーター,化学（総合）,化学工業（総合化学・基幹素材）,1
4205,日本ゼオン,化学（総合）,化学工業（総合化学・基幹素材）,1
4008,住友精化,化学（機能性化学）,化学工業（総合化学・基幹素材）,1
4114,日本触媒,化学（機能性化学）,化学工業（総合化学・基幹素材）,1
4471,三洋化成工業,化学（機能性化学）,化学工業（総合化学・基幹素材）,1
6952,カシオ計算機,電機・精密機器,化学工業（電機・精密機器）,1
7762,シチズン時計,電機・精密機器,化学工業（電機・精密機器）,1
8050,セイコーグループ,電機・精密機器,化学工業（電機・精密機器）,1
5333,日本碍子,電機・精密機器,化学工業（電機・精密機器）,1
6674,ジーエス・ユアサ コーポレーション,電機・精密機器,化学工業（電機・精密機器）,1
3105,日清紡ホールディングス,電機・精密機器,化学工業（電機・精密機器）,1
6471,日本精工,電機・精密機器,化学工業（電機・精密機器）,1
6473,ジェイテクト,電機・精密機器,化学工業（電機・精密機器）,1
7732,トプコン,電機・精密機器,化学工業（電機・精密機器）,1
4047,関東電化工業,電機・精密機器,化学工業（電機・精密機器）,1
5208,有沢製作所,電機・精密機器,化学工業（電機・精密機器）,1
6136,オーエスジー,電機・精密機器,化学工業（電機・精密機器）,1
6222,島精機製作所,電機・精密機器,化学工業（電機・精密機器）,1
6474,不二越,電機・精密機器,化学工業（電機・精密機器）,1
6768,タムラ製作所,電機・精密機器,化学工業（電機・精密機器）,1
