,Code,Sector,Sector33CodeName
347,4548,中堅製薬,
348,4549,小型医薬品,
349,4551,製薬,
350,4552,小型医薬品,
351,4553,中堅製薬,
352,4559,小型医薬品,
353,4565,製薬,
354,4568,製薬,
355,4569,中堅製薬,
356,4574,製薬,
357,4577,中堅製薬,
358,4578,製薬,
359,4587,ペプチドリーム,
360,4612,塗料・酸素,
361,4613,塗料・酸素,
362,4617,専門商社,
363,4626,油脂・ポリマー,
364,4631,中堅化学,
365,4633,中堅化学,
366,4634,中堅化学,
367,4641,土木・道路,
368,4661,首都圏私鉄,
369,4665,ダスキン,
370,4666,その他レジャー,
371,4668,外食2・学習塾,
372,4676,メディア,
373,4680,その他レジャー,
374,4681,国内観光,
375,4684,ITサービス,
376,4686,ITソリューション,
377,4689,人材・web,
378,4694,小型医薬品,
379,4704,ソフトウェア,
380,4714,外食2・学習塾,
381,4716,ソフトウェア,
382,4722,ITソリューション,
383,4726,ITソリューション,
384,4732,遊戯機器,
385,4733,ITサービス,
386,4743,SIer,
387,4751,ゲーム,
388,4755,印刷・広告,
389,4768,ITサービス,
390,4776,ITサービス,
391,4812,ソフトウェア,
392,4813,リース・ローン,
393,4819,ITサービス,
394,4825,その他サービス,
395,4839,ＷＯＷＯＷ,
396,4848,人材・web,
397,4849,ITソリューション,
398,4887,中堅製薬,
399,4901,OA機器・時計,
400,4902,OA機器・時計,
401,4911,衛生,
402,4912,衛生,
403,4917,衛生,
404,4919,衛生,
405,4921,衛生,
406,4922,衛生,
407,4927,衛生,
408,4928,衛生,
409,4958,長谷川香料,
410,4967,衛生,
411,4971,半導体1,
412,4974,製薬,
413,4975,油脂・ポリマー,
414,4980,ガラス・電気,
415,4985,食品2,
416,4996,クミアイ化学工業,
417,4997,日本農薬,
418,5019,石油,
419,5020,石油,
420,5021,石油,
421,5076,ゼネコン,
422,5101,自動車部品（ゴム）,
423,5105,自動車部品（ゴム）,
424,5108,自動車部品（ゴム）,
425,5110,自動車部品（ゴム）,
426,5122,オカモト,
427,5186,ニッタ,
428,5191,自動車部品2,
429,5192,三ツ星ベルト,
430,5201,ガラス・電気,
431,5202,ガラス・電気,
432,5208,自動車部品1,
433,5214,ガラス・電気,
434,5232,樹脂・セメント,
435,5233,樹脂・セメント,
436,5301,総合化学,
437,5302,総合化学,
438,5310,東洋炭素,
439,5331,特殊産業機器,
440,5332,住宅,
441,5333,樹脂等,
442,5334,機械部品2,
443,5344,電子部品,
444,5352,金属製品,
445,5384,産業機械1,
446,5393,ニチアス,
447,5401,鉄鋼,
448,5406,鉄鋼,
449,5408,非鉄金属,
450,5410,金属製品,
451,5411,鉄鋼,
452,5423,鉄鋼,
453,5440,金属製品,
454,5444,金属製品,
455,5451,専門商社,
456,5463,丸一鋼管,
457,5471,鉄鋼,
458,5480,鉄鋼,
459,5481,鉄鋼,
460,5482,金属製品,
461,5541,非鉄金属,
462,5563,金属製品,
463,5631,ガラス・電気,
464,5702,非鉄金属,
465,5703,非鉄金属,
466,5706,非鉄金属,
467,5707,非鉄金属,
468,5711,非鉄金属,
469,5713,非鉄金属,
470,5714,非鉄金属,
471,5715,古河機械金属,
472,5726,非鉄金属,
473,5727,非鉄金属,
474,5741,金属製品,
475,5801,ガラス・電気,
476,5802,ガラス・電気,
477,5803,ガラス・電気,
478,5805,ＳＷＣＣ,
479,5809,タツタ電線,
480,5830,地銀,
481,5831,地銀,
482,5832,地銀,
483,5844,地銀,
484,5851,機械部品2,
485,5857,ＡＲＥホールディングス,
486,5901,樹脂等,
487,5911,土木・道路,
488,5929,住宅,
489,5930,中堅ゼネコン・設計,
490,5932,三協立山,
491,5938,住宅,
492,5943,住宅,
493,5947,住宅,
494,5949,機械部品2,
495,5959,岡部,
496,5970,自動車部品2,
497,5975,トヨタ系他,
498,5988,自動車部品（ゴム）,
499,5991,機械部品2,
