Sector,2025-04-03
コーナン商事 - アークランズ,0.6148766261251949
コーナン商事 - コメリ,0.5692979980223771
サイゼリヤ - ロイヤルホールディングス,0.8604041940479987
サイバーエージェント - ＧＭＯインターネットグループ,0.5148406157903518
サイボウズ - トランス・コスモス,0.35003487613172696
サイボウズ - ＮＳＤ,0.5803122399033841
サカタのタネ - プリマハム,0.8502642853944411
サッポロホールディングス - アサヒグループホールディングス,2.5848308307531096
サッポロホールディングス - キリンホールディングス,1.7887247786197105
サトー - 三愛オブリ,0.9676602205103694
サンエー - バローホールディングス,1.0376064698386376
サンエー - 平和堂,1.0051612558986591
サンケン電気 - トプコン,1.632042808769899
サンリオ - オートバックスセブン,1.2192613040686704
システナ - さくらインターネット,0.08753833021679475
シスメックス - ニプロ,0.687665129203187
シスメックス - 朝日インテック,1.008803666089408
シチズン時計 - セイコーグループ,0.5748322489298724
シップヘルスケアホールディングス - サンゲツ,0.7104281675712986
ショーボンドホールディングス - 日本道路,1.0698932131722518
シンフォニアテクノロジー - ダイヘン,0.27058976153592684
シーイーシー - 福井コンピュータホールディングス,0.44153552679967667
ジェイテクト - トプコン,0.854936534801745
ジャックス - イー・ギャランティ,0.6714110729075554
ジャックス - オリエントコーポレーション,0.8918134378394932
ジャパンマテリアル - ディスコ,4.191776833548316
ジャパンマテリアル - レーザーテック,0.479023686318643
スカパーＪＳＡＴホールディングス - ＫＡＤＯＫＡＷＡ,2.598214831132991
スクウェア・エニックス・ホールディングス - カプコン,0.9072567450844848
スタンレー電気 - 小糸製作所,1.2424183823081039
ステラ　ケミファ - バルカー,0.5757981143484454
セブン銀行 - 山口フィナンシャルグループ,2.6641871876107968
セブン＆アイ・ホールディングス - イオン,0.6038929113684147
センコーグループホールディングス - ニッコンホールディングス,0.43819702563197793
センコーグループホールディングス - 福山通運,0.6934361213460412
セントラル硝子 - ダイセキ,0.829461330902956
セントラル硝子 - 中国塗料,0.32576596110506695
セントラル硝子 - 日本パーカライジング,0.7159752622637173
セントラル硝子 - 東亞合成,0.6874507798855476
セーレン - 淀川製鋼所,0.3062692826028875
ゼンショーホールディングス - 吉野家ホールディングス,1.9577556514056584
タカラトミー - オカムラ,1.2107532800370606
タカラトミー - コクヨ,0.8928751253979883
タクマ - エレコム,0.9316470807330494
タクマ - ユアサ商事,1.9802356921764352
タマホーム - ＪＰホールディングス,0.40368044735551295
タムラ製作所 - スター精密,0.3876886028164531
タムラ製作所 - 山一電機,0.7150433182175066
タムロン - 加賀電子,0.6712278297737875
ダイキン工業 - 京セラ,0.9977338272044626
ダイセキ - ベルーナ,0.440599050815592
ダイセル - 日本ゼオン,0.9420243208327514
ダイドーグループホールディングス - ロック・フィールド,1.539992442455763
ダイワボウホールディングス - カナデビア,1.4984946420835787
ダイワボウホールディングス - ニチアス,1.1668263320150982
ダスキン - 船井総研ホールディングス,1.0245906610239834
ツガミ - 牧野フライス製作所,0.7644398920305436
